geom,degrade_level,query_split,similarity,template_mode,stratum_type,stratum,n,top1_yaw_cmae,top1_yaw_hit@30
G1,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,-45..+00,72,88.4722,0.2778
G1,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,-90..-45,72,79.1667,0.3333
G3,degraded-mild,val,neg-L2,matched-degraded,yaw_sector,000-090,59,35.0847,0.7797
G3,degraded-mild,val,neg-L2,matched-degraded,yaw_sector,090-180,64,34.8438,0.7656
G3,degraded-mild,val,neg-L2,matched-degraded,yaw_sector,180-270,70,24.7143,0.8
G3,degraded-mild,val,neg-L2,matched-degraded,yaw_sector,270-360,66,49.0152,0.6515
G3,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,+00..+45,63,36.2698,0.7143
G3,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,+45..+90,63,28.8889,0.8254
G3,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,+90..+135,7,112.1429,0.1429
G3,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,-45..+00,63,30.5556,0.7937
G3,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,-90..-45,63,38.8889,0.7302
G3,degraded-mild,val,cosine,matched-degraded,yaw_sector,000-090,59,68.9831,0.5763
G3,degraded-mild,val,cosine,matched-degraded,yaw_sector,090-180,64,54.2969,0.5625
G3,degraded-mild,val,cosine,matched-degraded,yaw_sector,180-270,70,69.2143,0.5
G3,degraded-mild,val,cosine,matched-degraded,yaw_sector,270-360,66,54.3939,0.5909
G3,degraded-mild,val,cosine,matched-degraded,pitch_bin,+00..+45,63,73.3333,0.4444
G3,degraded-mild,val,cosine,matched-degraded,pitch_bin,+45..+90,63,44.4444,0.7143
G3,degraded-mild,val,cosine,matched-degraded,pitch_bin,+90..+135,7,117.8571,0.1429
G3,degraded-mild,val,cosine,matched-degraded,pitch_bin,-45..+00,63,53.4921,0.6032
G3,degraded-mild,val,cosine,matched-degraded,pitch_bin,-90..-45,63,69.2857,0.5079
G3,degraded-mild,val,zscore-neg-L2,matched-degraded,yaw_sector,000-090,59,29.5763,0.8136
G3,degraded-mild,val,zscore-neg-L2,matched-degraded,yaw_sector,090-180,64,37.3438,0.75
G3,degraded-mild,val,zscore-neg-L2,matched-degraded,yaw_sector,180-270,70,24.7143,0.8
G3,degraded-mild,val,zscore-neg-L2,matched-degraded,yaw_sector,270-360,66,51.6667,0.6364
