region,category,yaw,pitch,roll,source,ocs_total,brightness_rank,rank_shift_vs_roll0,pixel_local_contrast,neighbor_contrast_ypr,roll_sensitivity_score,n_pixels_camera_visible,n_pixels_contributing,mean_lit,image_usable,glint_flag,saturation_flag
R3_low_info,low-info/ocs-hard,70,65,15,20_pack,3.470005e-02,58,1,0.493760,0.826913,1.014106,6375,4901,4.420866e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,65,30,20_pack,2.691960e-02,57,0,0.610928,0.681358,1.014106,6099,5312,3.164263e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,65,45,20_pack,2.077901e-02,83,26,0.989910,0.781611,1.014106,5953,5733,2.263106e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,65,60,20_pack,1.468254e-02,88,31,1.662202,0.528347,1.014106,6185,5788,1.583925e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,70,-60,20_pack,1.792446e-02,92,36,0.413331,0.456725,0.978677,4299,3768,2.970279e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,70,-45,20_pack,1.506640e-02,117,61,1.292611,0.438147,0.978677,4176,4084,2.303487e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,70,-30,20_pack,1.885219e-02,86,30,1.258286,0.763756,0.978677,5155,5068,2.322668e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,70,-15,20_pack,2.595232e-02,61,5,0.588482,1.246387,0.978677,5891,3295,4.917935e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,70,0,01_fullrun,3.877054e-02,56,0,0.702315,0.874446,0.978677,6317,4180,5.791452e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,70,15,20_pack,3.748921e-02,51,-5,0.464551,0.784711,0.978677,6363,4844,4.832413e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,70,30,20_pack,2.764771e-02,54,-2,0.561661,0.797492,0.978677,6080,5211,3.312836e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,70,45,20_pack,2.116152e-02,81,25,0.965521,0.807548,0.978677,5872,5642,2.341940e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,70,60,20_pack,1.512090e-02,83,27,1.593316,0.537937,0.978677,6150,5756,1.640283e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,75,-60,20_pack,1.877161e-02,85,27,0.328987,0.561486,1.084661,4264,3670,3.193723e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,75,-45,20_pack,1.454728e-02,121,63,1.184382,0.544399,1.084661,4033,3922,2.315987e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,75,-30,20_pack,1.852985e-02,92,34,1.277338,0.747458,1.084661,5029,4948,2.338321e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,75,-15,20_pack,2.537498e-02,65,7,0.503401,1.282632,1.084661,5823,3112,5.091293e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,75,0,01_fullrun,3.871895e-02,58,0,0.644702,0.879472,1.084661,6257,4033,5.994560e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,75,15,20_pack,4.140194e-02,47,-11,0.440990,0.746917,1.084661,6323,4717,5.480456e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,75,30,20_pack,2.829953e-02,51,-7,0.515442,0.940981,1.084661,6040,5108,3.459316e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,75,45,20_pack,2.155755e-02,79,21,0.743470,0.834312,1.084661,5796,5563,2.419648e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,75,60,20_pack,1.562552e-02,82,24,1.573771,0.549342,1.084661,6104,5677,1.718611e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,80,-60,20_pack,1.988138e-02,78,17,0.271379,0.555433,1.281744,4197,3553,3.493923e-02,1,0,0
