yaw,pitch,roll,ocs_no_occ,ocs_with_occ,occlusion_ratio,visible_faces_no_occ,visible_faces_with_occ,ocs_no_occ_jinshuzhuti,ocs_no_occ_taiyangnengban,ocs_no_occ_yinshenban,ocs_with_occ_jinshuzhuti,ocs_with_occ_taiyangnengban,ocs_with_occ_yinshenban,visible_faces_no_occ_jinshuzhuti,visible_faces_no_occ_taiyangnengban,visible_faces_no_occ_yinshenban,visible_faces_with_occ_jinshuzhuti,visible_faces_with_occ_taiyangnengban,visible_faces_with_occ_yinshenban
5.0,-30.0,0.0,0.02069045089312773,0.00924893985676893,0.552985099041948,34205,5033,0.005592519377743728,0.014638314937219643,0.0004596165781643613,0.004176039120791739,0.004740490528624203,0.00033241020735298683,32567,1444,194,4650,360,23
5.0,-25.0,0.0,0.015937401738743615,0.006445538160630044,0.5955715827278781,34111,5096,0.003310222873199749,0.012146812618119167,0.000480366247424699,0.0021121348485695648,0.003972591731308829,0.00036081158075164995,32483,1430,198,4710,362,24
5.0,-20.0,0.0,0.012437148400998492,0.0044250211241021395,0.6442093491666558,33925,5170,0.002181165281668557,0.009755462450433062,0.000500520668896873,0.0007416178999853655,0.0033036674083295097,0.0003797358157872639,32300,1427,198,4787,359,24
5.0,-15.0,0.0,0.01232342995456559,0.00454583843884664,0.6311223047798884,33898,4999,0.0042702593027120865,0.007533686617838589,0.0005194840340149148,0.0015305712249950119,0.0026180101215746853,0.00039725709227694355,32269,1430,199,4642,334,23
5.0,-10.0,0.0,0.01584253724592072,0.006198215053555593,0.6087612130972541,33716,4755,0.009759022439328996,0.005546889060680726,0.0005366257459109998,0.0038027986390412275,0.0019823128279880674,0.0004131035865262983,32097,1423,196,4418,314,23
5.0,-5.0,0.0,0.008597137054568448,0.00308184150415251,0.6415270008386287,33666,4763,0.00419178282385489,0.0038539605895063275,0.000551393641207231,0.0012005966329104944,0.0014398533755022205,0.00044139149573979537,32045,1424,197,4455,283,25
5.0,0.0,0.0,0.011297480758500955,0.003415497846778869,0.6976761527822185,33517,4790,0.008230466148644283,0.0025036772512972054,0.0005633373585594683,0.00195135064477193,0.0010112006601297498,0.0004529465418771889,31902,1418,197,4489,277,24
5.0,5.0,0.0,0.03658533542623709,0.0035445475815311825,0.9031156188610692,33513,4697,0.03448509482247605,0.0015281485952371662,0.0005720920085238693,0.0024817215660773275,0.000601622095285545,0.0004612039201683101,31908,1411,194,4446,227,24
5.0,10.0,0.0,0.04390965865256226,0.005013746200535142,0.8858167803077974,32739,4693,0.04238846379321687,0.0009436761454408689,0.0005775187139045201,0.004160324857482226,0.0003874558298837031,0.00046596551316921257,31272,1274,193,4480,189,24
5.0,15.0,0.0,0.049469422234251124,0.01611248297606367,0.6742940942433754,23719,3449,0.04803244231224008,0.0008566431864377874,0.0005803367355732542,0.01528854499010597,0.0003561061569258955,0.00046783182903180196,23092,472,155,3396,38,15
5.0,20.0,0.0,0.0291027633087317,0.015081375104595496,0.4817888959681491,32807,4402,0.0273973017315449,0.001126617626772477,0.0005788439504143238,0.014150545798085095,0.00046653434396868654,0.0004642949625417159,31311,1302,194,4016,368,18
5.0,25.0,0.0,0.019730691130765803,0.011946605218433473,0.3945166370880292,33421,4393,0.017283693487407846,0.0018725326826713289,0.000574464960686626,0.010697781513650029,0.0007930287723756825,0.00045579493240776334,31913,1314,194,4047,328,18
5.0,30.0,0.0,0.01425742195436767,0.003830837954296163,0.7313092109809789,33553,4499,0.01068595594096416,0.0030050207856047147,0.0005664452277987946,0.0021249082152057946,0.00126220856287513,0.0004437211762152382,32044,1313,196,4149,331,19
5.0,35.0,0.0,0.014643955805082093,0.003183364215792203,0.7826158274332242,33664,4554,0.009588225496375603,0.004500692844631068,0.0005550374640754227,0.001083787176970053,0.0016729828756701526,0.0004265941631519969,32158,1313,193,4203,332,19
5.0,40.0,0.0,0.015818535906734876,0.0032059139280644126,0.7973318171184561,33762,4622,0.008960223858619581,0.006317603144282785,0.0005407089038325108,0.0005562373001941848,0.002265515709214091,0.0003841609186561367,32253,1312,197,4271,333,18
5.0,45.0,0.0,0.013635892039792848,0.003627331688347881,0.7339864764430193,33799,4577,0.004709502496765796,0.008402533097560963,0.0005238564454660893,0.0003514847290063601,0.002947109799826566,0.0003287371595149549,32292,1312,195,4225,336,16
5.0,50.0,0.0,0.014716600916200506,0.004233673671238265,0.7123198695578066,33924,4630,0.003515477877974592,0.010696117133048808,0.0005050059051771065,0.0002463366832532387,0.0036975614460442313,0.0002897755419407954,32419,1312,193,4274,342,14
5.0,55.0,0.0,0.01939848130916639,0.0049639690814054895,0.7441052728669095,33934,4592,0.005782087687655801,0.013131637668947543,0.0004847559525630467,0.000201391637857566,0.004493010940971453,0.00026956650257647073,32429,1312,193,4238,340,14
